Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Hector Noesi\noesihe01,25,do,R,R,6' 3",205,Jan 26 1987,2,22,18,2,22,22,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,$488000,
Miguel Olivo\olivomi01,33,do,R,R,6' 0",230,Jul 15 1978,11,87,80,87,73,0,73,0,0,0,0,0,0,0,0,12,3,1,0.4,$3500000,
Carlos Peguero\pegueca01,25,do,L,L,6' 5",260,Feb 22 1987,2,17,15,17,12,0,0,0,0,0,0,2,0,11,13,4,1,1,-0.4,,
Oliver Perez\perezol01,30,mx,L,L,6' 3",225,Aug 15 1981,10,33,0,3,33,33,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,
Stephen Pryor\pryorst01,22,us,R,R,6' 4",235,Jul 23 1989,1st,27,0,0,26,27,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Erasmo Ramirez\ramirer02,22,ni,R,R,5' 10",215,May 2 1990,1st,16,8,1,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$480000,
Trayvon Robinson\robintr01,24,us,B,R,5' 10",200,Sep 1 1987,2,46,39,46,46,0,0,0,0,0,0,46,0,0,46,0,2,0,0.5,,
Brendan Ryan\ryanbr01,30,us,R,R,6' 1",190,Mar 26 1982,6,141,134,141,138,0,0,0,0,0,138,0,0,0,0,0,2,1,3.4,$1750000,
Michael Saunders\saundmi01,25,ca,L,R,6' 4",225,Nov 19 1986,4,139,133,139,136,0,0,0,0,0,0,22,113,5,140,0,5,1,2.5,$489100,
Kyle Seager\seageky01,24,us,L,R,6' 0",210,Nov 3 1987,2,155,153,155,152,0,0,0,18,138,0,0,0,0,0,2,2,0,2.8,$484300,
George Sherrill\sherrge01,35,us,L,L,6' 0",225,Apr 19 1977,9,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,$1100000,
Justin Smoak\smoakju01,25,us,B,L,6' 4",220,Dec 5 1986,3,132,130,132,131,0,0,131,0,0,0,0,0,0,0,1,0,0,-0.3,$495100,
Ichiro Suzuki\suzukic01,38,jp,L,R,5' 11",175,Oct 22 1973,12,95,95,95,93,0,0,0,0,0,0,0,0,93,93,2,0,0,1.5,$17000000,
Eric Thames\thameer01,25,us,L,R,6' 0",210,Nov 10 1986,2,40,32,40,36,0,0,0,0,0,0,1,0,35,36,1,5,1,0.0,,
Carlos Triunfel\triunca01,22,do,R,R,5' 11",195,Feb 27 1990,1st,10,5,10,9,0,0,0,2,0,7,0,0,0,0,0,2,0,0.1,,
Jason Vargas\vargaja01,29,us,L,L,6' 0",215,Feb 2 1983,7,33,33,2,33,33,0,0,0,0,0,0,0,0,0,0,0,0,3.6,$4850000,
Casper Wells\wellsca01,27,us,R,R,6' 2",220,Nov 23 1984,3,93,74,93,87,0,0,0,0,0,0,52,11,25,88,1,7,2,0.9,$488200,
Tom Wilhelmsen\wilheto01,28,us,R,R,6' 6",220,Dec 16 1983,2,73,0,4,73,73,0,0,0,0,0,0,0,0,0,0,0,0,2.1,$482900,
